,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
S(우유제외)수박화채,55.0,0.79,0.05,13.818000000000001,0.2,7.2,0.186,0.6,71.08333333,0.024,0.03,0.0,14.25,2.93
S감말랭이,76.5,0.582,0.048,20.583000000000002,3.36,6.3,0.192,0.9,13.725,0.003,0.0672,1.5330000000000001,0.0,8.601
S거봉(100g),61.0,0.43,0.04,16.38,0.4,4.0,0.17,1.0,2.166666667,0.026000000000000002,0.047,0.13,11.89,6.09
S곶감,85.6,0.772,0.032,22.98,3.4,5.6,0.248,0.4,9.533333332,0.0036,0.0972,1.068,0.0,5.044
S과일화채,101.05,3.67,3.3645,14.89,0.7899999999999999,117.64999999999999,0.1985,36.0,91.16666666489999,0.04035,0.1911,1.8925,86.66050000000001,10.692499999999999
S(우유제외)과일화채,76.05000000000001,0.5900000000000001,0.0445,19.34,0.7899999999999999,6.65,0.1585,1.0,36.1666666649,0.01935,0.0291,1.1025,13.5305,3.0925000000000002
S귤(50g),19.5,0.35,0.05,4.95,0.0,6.5,0.0,5.5,0.2083333335,0.065,0.02,22.0,0.0,0.0
S귤(80g),31.2,0.56,0.08,7.92,0.0,10.4,0.0,8.8,0.33333333359999995,0.10400000000000001,0.032,35.2,0.0,0.0
S단감(50g),25.5,0.205,0.02,6.83,3.2,3.0,0.075,0.0,3.375,0.0285,0.0255,6.975,0.0,5.105
S당근스틱,9.3,0.306,0.03900000000000001,2.109,0.93,7.2,0.084,6.9,137.90000001,0.011099999999999999,0.0186,0.9059999999999999,24.906,2.37
S딸기(100g),36.0,0.8,0.2,8.9,0.0,7.0,0.4,13.0,0.0,0.03,0.02,71.0,0.0,0.0
S멜론(100g),40.0,1.5,0.04,9.64,2.0,7.0,0.34,13.0,2.416666667,0.032,0.033,2.02,5.27,10.67
S멜론(50g),20.0,0.75,0.02,4.82,1.0,3.5,0.17,6.5,1.2083333335,0.016,0.0165,1.01,2.635,5.335
S멜론(75g),30.0,1.125,0.03,7.23,1.5,5.25,0.25500000000000006,9.75,1.81250000025,0.024,0.02475,1.515,3.9524999999999992,8.0025
S멜론퓨레,32.0,1.2,0.032,7.712000000000001,1.6,5.6,0.272,10.4,1.9333333335999998,0.0256,0.0264,1.6159999999999999,4.215999999999999,8.536
S바나나(100g),84.0,1.1,0.1,21.94,1.9,7.0,0.29,0.0,2.083333333,0.049,0.075,5.94,24.75,9.76
S바나나(50g),42.0,0.55,0.05,10.97,0.95,3.5,0.145,0.0,1.0416666665,0.0245,0.0375,2.97,12.375,4.88
S방울토마토(35g),8.75,0.35,0.0455,2.1069999999999998,0.735,3.5,0.1295,1.75,20.825,0.007699999999999999,0.030449999999999998,3.9795,21.644000000000002,2.4535
S방울토마토(70g),17.5,0.7,0.091,4.2139999999999995,1.47,7.0,0.259,3.5,41.65,0.015399999999999999,0.060899999999999996,7.959,43.288000000000004,4.907
S배(100g),46.0,0.3,0.04,12.35,1.4,1.0,0.05,0.0,0.0,0.016,0.049,2.76,18.27,1.16
S배(50g),23.0,0.15,0.02,6.175,0.7,0.5,0.025,0.0,0.0,0.008,0.0245,1.38,9.135,0.58
S복숭아(60g),19.2,0.558,0.03,4.71,2.28,3.6,0.114,0.0,4.6999999998,0.0168,0.010799999999999999,1.014,10.631999999999998,3.378
S복숭아(80g),25.6,0.7440000000000001,0.04,6.28,3.04,4.8,0.152,0.0,6.2666666664,0.022400000000000003,0.0144,1.3519999999999999,14.175999999999998,4.504
