,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
0,찹쌀보리밥(40),감자국,닭가슴살사과무침,도라지무침,백김치,S아몬드,S수제블루베리우유,소고기가지덮밥,무채양파국,양파링튀김,달걀샐러드,비트초절이,S단호박크림리조또,S망고주스,팥밥,두부전골,주꾸미채소간장볶음,깻잎순나물볶음,배추김치
1,쌀밥(추가),팥죽,고등어구이,양배추샐러드,나박김치,S치즈,S우유(200ml),찹쌀밥,바지락된장국,순살닭볶음탕,돌나물부추무침,단배추물김치,S새우채소전,S오렌지주스,수수밥,감자탕,코다리엿장조림,김자반,깍두기
2,현미밥(40),북어국,게맛살파프리카볶음,방풍나물,단배추물김치,S감말랭이,S단호박식혜,해물볶음밥,두부곤약탕국,메추리알장조림,양상추유자청무침,배추김치,empty,S우유(200ml),율무밥,모시조개탕,소고기찹쌀구이,브로콜리깨소스무침,나박김치
3,소고기김주먹밥,맑은가쓰오부시장국,시금치스크램블에그,콩조림,배추김치,S토마토(100g),S치즈,현미찹쌀밥,무국,주꾸미볶음,상추유자청무침,나박김치,S단호박견과류찜,S우유(100ml),율무밥,만두닭개장,애호박생선살찜,깻잎나물,깍두기
4,쌀밥(30),느타리버섯국,새우살스크램블에그,고구마순된장무침,나박김치,empty,S수제블루베리우유,소고기굴소스볶음밥,팽이장국,고구마샐러드,우엉채곤약조림,배추김치,empty,S단팥죽,밤콩밥,만두국,닭가슴살데리야끼조림,도라지무침,백김치
5,율무밥(40),매생이국,두부데리야끼구이,느타리파프리카볶음,배추김치,S참깨우유스프,S사과(35g),쌀밥,표고버섯탕,닭살카레조림,양배추유자청샐러드,배추김치,S찐고구마,S우유(100ml),쌀밥,애호박된장국,훈제오리냉채,콩나물무침,나박김치
6,밤콩밥,두부탕국,감자어묵볶음,진미채무말랭이무침,나박김치,S사과(50g),S우유(200ml),파프리카유부초밥,실파장국,소고기단호박찜,empty,깍두기,S치즈스틱,S오렌지주스,율무밥,닭개장,주꾸미볶음,팽이버섯나물,깍두기
7,흑미밥(40),감자국,돼지고기케첩조림,애호박볶음,단배추물김치,S사과(35g),S우유미숫가루,콩밥,달래된장국,주꾸미볶음,다시마채무침,배추김치,S약과,S오렌지주스,치즈채소볶음밥,순두부백탕,감자버터구이,취나물된장무침,깍두기
8,밤찹쌀팥밥(40),시금치맑은국,알감자조림,닭가슴살샐러드(머스타드소스),나박김치,S바나나쉐이크,empty,흑미밥,모듬버섯국,소고기토마토조림,청경채초무침,배추김치,S찐밤,S단호박식혜,카레라이스,콩나물국,새우살크림소스볶음,얼갈이무침,깍두기
9,고구마밥(40),조랭이떡미역국,건새우애호박볶음,고구마순된장무침,나박김치,S사과(50g),S떠먹는요구르트(100ml),소고기가지덮밥,달걀파국,채소크로켓,새싹채소샐러드,비트초절이,S바나나(50g),S호두우유,검정콩밥,만두국,닭안심애호박찜,느타리버섯나물,단배추물김치
10,팥밥(30),다시마감자국,닭가슴살데리야끼조림,양배추마요무침,단배추물김치,S블루베리(50g),S떠먹는요구르트(100ml),찹쌀밥,버섯맑은국,제육볶음,상추쌈,나박김치,S찐고구마,S우유(100ml),일본식소고기덮밥(규동),미니유부우동,녹두전,사과미나리무침,깍두기
11,찹쌀현미밥,소갈비탕,단배추멸치조림,가지양념무침,백김치,S수제블루베리우유,empty,닭살카레감자밥+양념장,애호박맑은국,채소옥수수튀김,파프리카스틱,비트초절이,S오렌지주스(무가당),S꿀호떡,옥수수밥,두부전골,삼치구이,상추달래겉절이,나박김치
12,콩밥(40),쑥완자탕,순살간장닭갈비,애호박볶음,단배추물김치,S바나나(100g),empty,채소주먹밥,달걀파국,잔멸치볶음,녹두전,배추김치,empty,S우유(200ml),완두콩밥,찹쌀옹심이국,닭살카레조림,무말랭이,나박김치
