,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (BetaCarotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"귀리, 겉귀리, 도정, 생것",곡류및그제품,373,11.4,3.7,73.5,0,16,6.6,2,0,0,0.13,0.21,0,0,0
"귀리, 쌀귀리, 도정, 생것",곡류및그제품,371,14.3,3.8,70.4,0,18,7,3,0,0,0.15,0.46,0,0,0
"귀리, 오트밀",곡류및그제품,382,13.2,8.2,64.9,18.8,60,5.8,4,0,3,0,0.07,0,0,0
"기장, 도정, 생것",곡류및그제품,360,11.2,1.9,74.6,0,15,2.8,6,0,0,0.42,0.09,0,0,0
"기장, 찰기장, 도정, 생것",곡류및그제품,365,12.46,3.09,71.91,4.6,8,2.71,2,0,10,0.417,0.078,0,1910.96,41.17
"메밀, 도정, 생것",곡류및그제품,363,13.64,3.38,67.84,6.3,21,2.78,1,0,7,0.458,0.255,0,1164.22,82.58
"메밀, 도정, 가루",곡류및그제품,374,12.96,3.29,71.36,8.5,17,2.92,1,0,9,0.341,0.274,0,1143.1,80.91
"메밀 국수, 생것",곡류및그제품,291,7.59,0.96,61.14,1.9,13,0.59,455,0,0,0.015,0.05,0,509.22,29.67
"메밀 국수, 생것, 삶은것",곡류및그제품,124,3.54,0.44,25.73,1.7,7,0.28,38,0,6,0.009,0.018,0,226.43,13.34
"메밀 국수, 말린것",곡류및그제품,372,13.58,1.27,74.41,4.6,28,2.54,707,0,0,0.119,0.12,1.07,578.77,27.62
"메밀 국수, 말린것, 삶은것",곡류및그제품,114,4.28,0.4,22.65,1.5,12,0.87,35,0,0,0.021,0.026,0.18,183.63,8.81
"메밀 냉면, 말린것",곡류및그제품,360,10.74,1.44,73.66,3.2,27,1.36,628,0,0,0.021,0.16,0,779.42,51.12
"메밀 냉면, 말린것, 삶은것",곡류및그제품,141,4.22,0.59,28.71,1.4,18,0.56,68,0,0,0.019,0.047,0,315.98,20.61
"메밀묵, 생것",곡류및그제품,58,0.86,0.23,12.8,1.7,7,1.45,120,0,0,0.016,0.02,0,74.84,5.47
"메밀묵, 가루",곡류및그제품,371,8.33,2.04,77.39,4.1,21,1.84,2,0,7,0.197,0.148,0.34,726.57,55.11
"멥쌀, 배아미, 생것",곡류및그제품,357,6.5,2,75.8,1.3,7,0.9,1,0,0,0.23,0.03,0,670,24
"멥쌀, 백미, 생것",곡류및그제품,363,6.4,0.4,79.5,0,7,1.3,8,0,4,0.23,0.02,0,0,0
"멥쌀, 백미, 가루 ",곡류및그제품,362,6.2,0.9,78.5,0.6,5,0.8,2,0,0,0.09,0.02,0,300,11
"멥쌀, 칠분도미, 생것",곡류및그제품,368,6.9,1.1,79.1,0,24,0.9,2,0,0,0.19,0.05,0,0,0
"멥쌀, 고아미2호, 백미, 생것",곡류및그제품,379,8.9,2.7,76.4,0,4,3,21,0,0,0.19,0.06,0,0,0
"멥쌀, 고아미2호, 현미, 생것",곡류및그제품,374,9.6,4.6,73.3,0,4,2.8,26,0,0,0.26,0.11,0,0,0
"멥쌀, 농림나1호, 칠분도미, 생것",곡류및그제품,370,5.6,1.9,79.2,0,32,0,9,0,0,0.43,0.05,0,0,0
"멥쌀, 농림나1호, 현미, 생것",곡류및그제품,371,5.8,4.8,75.3,0,14,0.8,1,0,1,0.54,0.06,0,0,0
"멥쌀, 미국산, 백미, 생것",곡류및그제품,365,5.7,0.2,81.2,0,1,1.2,2,0,0,0.07,0.02,0,0,0
"멥쌀, 발아현미, 현미, 생것",곡류및그제품,371,7,2.3,79.4,0,8,3.3,3,0,0,0.25,0.06,0,0,0
"멥쌀, 밭벼, 백미, 생것",곡류및그제품,357,9.3,0.9,74.5,0.5,5,0.8,1,0,0,0.08,0.02,0,300,11
"멥쌀, 밭벼, 칠분도미, 생것",곡류및그제품,358,9.5,1.5,73.4,0.9,6,1.3,1,0,0,0.24,0.03,0,490,19
"멥쌀, 새추청벼, 백미, 생것",곡류및그제품,366,6.1,0.2,80.9,0,4,3.8,8,0,8,0.12,0.02,0,0,0
"멥쌀, 수라벼, 백미, 생것",곡류및그제품,346,5.7,0.1,76.7,0,6,0.8,17,0,7,0.12,0.03,0,0,0
"멥쌀, 일미벼, 백미, 생것",곡류및그제품,372,7.7,1,79.3,0,12,1.1,11,0,0,0.19,0.03,0,0,0
"멥쌀, 일미벼, 현미, 생것",곡류및그제품,354,9,1,76.2,0,10,1.7,12,0,0,0.35,0.06,0,0,0
"멥쌀, 일본산, 백미, 생것",곡류및그제품,367,5,0.4,81.8,0,1,1,2,0,0,0.13,0.03,0,0,0
"멥쌀, 일품벼, 백미, 생것",곡류및그제품,353,5.7,0.1,78.5,0,6,1.4,5,0,4,0.14,0.02,0,0,0
"멥쌀, 일품벼, 현미, 생것",곡류및그제품,363,7.4,2,77.8,0,3,1.5,24,0,0,0.28,0.05,0,0,0
