,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
0,찹쌀밥(30),부추재첩국,단배추멸치조림,팽이버섯부추나물,나박김치,S수제딸기우유,empty,꼬마김밥,단호박수제비,비빔만두,empty,열무물김치,S모카빵,S매실차,찹쌀팥밥,당근스프,미니돈까스,마카로니채소샐러드(마요네즈),깍두기
1,밤콩밥(30),아욱맑은국,연두부+양념장,맛살콩나물무침,석박지,S키위(50g),empty,밤콩밥,애호박젓국찌개,치즈닭갈비,사과상추겉절이,나박김치,S찐빵,S바나나쉐이크,잔멸치주먹밥,미니유부우동,채소옥수수튀김,양상추샐러드(발사믹드레싱),비트초절이
2,밤밥,감자채맑은국,메추리알곤약조림,오이볶음,열무김치,empty,S수제블루베리우유,밤콩밥,콩나물국,주꾸미채소간장볶음,모듬견과조림,백김치,S바나나(50g),S쌀음료,율무밥,콩나물국,닭안심사과볶음,얼갈이배추겉절이,나박김치
3,잡곡밥(30),깻잎국,삼치단호박조림,느타리버섯무침,나박김치,S고구마맛탕,empty,잡곡밥,감자달걀국,양상추샐러드(키위드레싱),empty,비트초절이,S치즈스틱,S매실주스,현미밥,애호박맑은국,주꾸미채소간장볶음,참나물겉절이,백김치
4,쌀밥,느타리버섯맑은국,브로콜리새우볶음,가지양념찜,배추김치,S자두(50g),S떠먹는요구르트(100ml),찹쌀밥,느타리버섯국,맛살꼬지전,도토리묵상추무침,깍두기,S감자샐러드,S우유(100ml),옥수수밥(30),조갯살아욱국,떡갈비간장조림,시금치나물,백김치
5,밤콩밥(30),닭살시금치국,돼지고기달걀장조림,파프리카유자청무침,열무물김치,S수제딸기우유,empty,일본식소고기덮밥(규동),우동국물,새우춘권튀김,고구마순된장무침,비트초절이,S무지개떡,S매실주스,찹쌀밥(추가),꼬치어묵국,애호박건새우볶음,당근참치마요무침,깍두기
6,수수밥,만두국,토마토달걀볶음,콩나물무침,배추김치,empty,S우유(150ml),해물우동볶음,우동국물,치킨까스,파인콘샐러드,깍두기,S우유(100ml),empty,찹쌀밥,두부탕국,주꾸미채소간장볶음,시금치나물,배추김치
7,밤밥,애호박맑은국,닭가슴살데리야끼조림,고구마순된장무침,동치미,S수제바나나우유,empty,콩밥,느타리버섯국,감자버터구이,가지양념무침,깍두기,S수제블루베리우유,S오렌지주스,찹쌀밥,만두국,새송이버섯전,검정콩호두조림,깍두기
8,찹쌀밥(추가),맑은순두부국,애호박버섯볶음,아몬드잔멸치조림,배추김치,empty,S우유(150ml),찹쌀보리밥,콩가루쑥국,옥수수치즈전,empty,깍두기,S우유(100ml),S오렌지주스,팥밥(30),차돌순두부백탕,아욱건새우전,empty,배추김치
9,밤콩밥(30),느타리버섯국,연두부+양념장,우엉채곤약조림,비트초절이,S떠먹는요구르트(100ml),empty,방울토마토새우볶음밥,유부장국,군만두,empty,단무지무침,S크로와상,S우유(150ml),율무밥,순두부찌개,주꾸미채소간장볶음,감자채볶음,깻잎김치
10,현미밥,조갯살된장국,삼색채소달걀찜,오이무침,나박김치,S수제딸기우유,S우유미숫가루,소고기굴소스볶음밥,맑은가쓰오부시장국,브로콜리흑임자소스무침,empty,석박지,S바나나사과키위샐러드,S단호박식혜,찹쌀팥밥,애호박국,(저염·저당)돼지갈비찜,얼갈이배추겉절이,비트초절이
11,옥수수밥(40),들깨미역국,두부양념조림,브로콜리애느타리무침,배추김치,S오렌지(50g),empty,시금치소고기덮밥,유부팽이국,옥수수치즈전,empty,깍두기,S머핀,S우유(100ml),찹쌀팥밥,맑은동태찌개,미트볼토마토소스조림,봄동나물,배추김치
12,잡곡밥,두부맑은된장국,조기구이,미나리숙주나물,배추김치,S참깨우유스프,empty,새우부추볶음밥,들깨버섯국,닭다리케첩조림,empty,깍두기,S단호박설기,S우유(100ml),찹쌀밥,만두닭개장,훈제오리숙주볶음,파프리카사과초무침,나박김치
13,쌀밥,두부전골,주꾸미채소간장볶음,숙주미나리나물,백김치,empty,S고구마쉐이크,돼지고기양배추덮밥,유부실파국,옥수수채소튀김,닭가슴살샐러드(머스타드소스),비트초절이,S키위(50g),S단호박식혜,찹쌀밥,모듬버섯찌개,(고춧가루제외)갈치조림,아욱나물무침,깍두기
