,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
0,잡곡밥,애호박맑은국,무말랭이,닭살브로콜리볶음,석박지,S참외샐러드,S미숫가루,콩밥(40),만두국,애호박건새우볶음,채소크로켓,열무물김치,S소고기우엉죽,S우유(100ml),찹쌀밥(추가),조랭이떡미역국,감자버터구이,empty,비트초절이
1,취나물표고영양밥,삼계탕,고구마줄기볶음,파래자반,열무김치,S단호박식혜,S감말랭이,찹쌀밥,목살김치국,얼갈이무침,봄동해물전,나박김치,S우유미숫가루,empty,현미밥(30),아욱우렁된장국,아욱나물무침,너비아니샐러드,깻잎김치
2,팥밥(30),두부전골,애호박볶음,(고춧가루제외)부추사과무침,비트초절이,S건포도감자볼,S과일연두부스무디,밤콩밥,미역만두국,매콤콩나물무침,팽이버섯부추나물,동치미,S고구마쉐이크,S짜장떡볶이,크림소스스파게티,empty,애호박나물,두부채소굴소스볶음,총각김치
3,찹쌀밥,콩가루시금치국,도라지배무침,느타리버섯나물,나박김치,S검은깨두유(200ml),S팥죽,옥수수밥(30),만두닭개장,고구마순된장무침,해산물부추전,깍두기,S우유(100ml),S연두부샐러드(오리엔탈드레싱),새우크림스파게티,empty,주꾸미채소간장볶음,가지양념찜,열무김치
4,율무밥,두부전골,우엉채곤약조림,애호박볶음,총각김치,S쌀음료,S수제바나나우유,밤콩밥(30),느타리버섯국,돼지사태찜,콩자반,깻잎김치,S알리오올리오스파게티,S건포도감자볼,일본식소고기덮밥(규동),만두순두부찌개,매콤콩나물무침,배무생채,열무물김치
5,소고기가지덮밥,애호박맑은국,치즈감자조림,애호박건새우볶음,나박김치,S연두부샐러드(오리엔탈드레싱),S수제비,찹쌀밥(추가),버섯맑은국,팽이버섯부추나물,채소크로켓,동치미,S토마토주스,S우유(100ml),팥밥(30),미니유부우동,느타리버섯나물,팽이버섯나물,깍두기
6,브로콜리채소볶음밥,두부전골,고구마순된장무침,파프리카쌈장무침,오이피클,S단호박식혜,S두부채소죽,옥수수밥(30),유부김치국,참외노각무침,우엉채곤약조림,비트초절이,S건포도감자볼,S수제바나나우유,찹쌀밥,만두국,돼지고기편육,애호박콩가루볶음,총각김치
7,수수밥(30),바지락된장국,채소크로켓,느타리버섯나물,깍두기,S쌀음료,S연두부샐러드(오리엔탈드레싱),소고기굴소스볶음밥,팥죽,냉이무침,empty,깻잎김치,S호두우유,empty,밤콩밥,모듬버섯찌개,도라지무침,empty,나박김치
8,찹쌀밥,버섯채소전골,고구마순된장무침,애호박나물,열무물김치,S수제딸기우유,S둥글레차,흑미밥,조갯살시래기국,팽이버섯부추나물,닭피망볶음,총각김치,S소고기감자죽,S감자샐러드,밤찹쌀팥밥(30),두부전골,녹두전,매콤콩나물무침,열무김치
9,밤콩밥(30),새알미역국,느타리버섯무침,소불고기,비트초절이,S연두부샐러드(오리엔탈드레싱),S팥죽,쌀밥(추가),두부대합탕국,두부채소굴소스볶음,애호박볶음,깍두기,S우유(100ml),S토마토주스,소고기가지덮밥,표고버섯탕,연근흑임자샐러드,empty,나박김치
10,콩밥,미니새우튀김우동,주꾸미볶음,냉이나물,파김치,S쌀음료,S우유미숫가루,찹쌀팥밥,채소스프,차돌숙주볶음,감자어묵볶음,오이피클,S건포도감자볼,S흰죽,잡곡밥(30),늙은호박국,모듬버섯전,취나물된장무침,총각김치
11,새우파래볶음밥,감자옹심이국,무말랭이,소고기동그랑땡전,열무물김치,S단호박식혜,S우엉주먹밥,팥밥,두부대합탕국,건새우볶음,게맛살파프리카볶음,비트초절이,S단감(50g),S우유(200ml),율무밥(30),버섯부추국,소불고기,팽이버섯달걀전,동치미
