,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"Oat(Covered oat), Polished, Raw",Grains and grain products,373,11.4,3.7,73.5,0,16,6.6,2,0,0.13,0.21,0,0,0
"Oat(Naked oat), Polished, Raw",Grains and grain products,371,14.3,3.8,70.4,0,18,7,3,0,0.15,0.46,0,0,0
"Oat, Oatmeal",Grains and grain products,382,13.2,8.2,64.9,18.8,60,5.8,4,0.25,0,0.07,0,0,0
"Prosomillet, Polished, Raw",Grains and grain products,360,11.2,1.9,74.6,0,15,2.8,6,0,0.42,0.09,0,0,0
"Prosomillet, Glutinous, Polished, Raw",Grains and grain products,365,12.46,3.09,71.91,4.6,8,2.71,2,0.833333333,0.417,0.078,0,1910.96,41.17
"Buckwheat, Polished, Raw",Grains and grain products,363,13.64,3.38,67.84,6.3,21,2.78,1,0.583333333,0.458,0.255,0,1164.22,82.58
"Buckwheat, Polished, Powder",Grains and grain products,374,12.96,3.29,71.36,8.5,17,2.92,1,0.75,0.341,0.274,0,1143.1,80.91
"Buckwheat noodle, Wet noodle",Grains and grain products,291,7.59,0.96,61.14,1.9,13,0.59,455,0,0.015,0.05,0,509.22,29.67
"Buckwheat noodle, Wet noodle, Boiled",Grains and grain products,124,3.54,0.44,25.73,1.7,7,0.28,38,0.5,0.009,0.018,0,226.43,13.34
"Buckwheat noodle, Dry noodle",Grains and grain products,372,13.58,1.27,74.41,4.6,28,2.54,707,0,0.119,0.12,1.07,578.77,27.62
"Buckwheat noodle, Dry noodle, Boiled, Cooked",Grains and grain products,114,4.28,0.4,22.65,1.5,12,0.87,35,0,0.021,0.026,0.18,183.63,8.81
"Buckwheat noodle, Nangmyeon, Dry noodle",Grains and grain products,360,10.74,1.44,73.66,3.2,27,1.36,628,0,0.021,0.16,0,779.42,51.12
"Buckwheat noodle, Nangmyeon, Dry noodle, Boiled",Grains and grain products,141,4.22,0.59,28.71,1.4,18,0.56,68,0,0.019,0.047,0,315.98,20.61
Buckwheat starch jelly,Grains and grain products,58,0.86,0.23,12.8,1.7,7,1.45,120,0,0.016,0.02,0,74.84,5.47
"Buckwheat starch jelly, Powder",Grains and grain products,371,8.33,2.04,77.39,4.1,21,1.84,2,0.583333333,0.197,0.148,0.34,726.57,55.11
"Rice, White, With embryo, Raw",Grains and grain products,357,6.5,2,75.8,1.3,7,0.9,1,0,0.23,0.03,0,670,24
"Rice, White, Raw",Grains and grain products,363,6.4,0.4,79.5,0,7,1.3,8,0.333333333,0.23,0.02,0,0,0
"Rice, White, Powder",Grains and grain products,362,6.2,0.9,78.5,0.6,5,0.8,2,0,0.09,0.02,0,300,11
"Rice, Brown, 94.4% milling yield, Raw",Grains and grain products,368,6.9,1.1,79.1,0,24,0.9,2,0,0.19,0.05,0,0,0
"Rice, White, Goami2, Raw",Grains and grain products,379,8.9,2.7,76.4,0,4,3,21,0,0.19,0.06,0,0,0
"Rice, Brown, Goami2, Raw",Grains and grain products,374,9.6,4.6,73.3,0,4,2.8,26,0,0.26,0.11,0,0,0
"Rice, Brown, 94.4% Milling yield, Nonglimna 1, Raw",Grains and grain products,370,5.6,1.9,79.2,0,32,0,9,0,0.43,0.05,0,0,0
"Rice, Brown, Nonglimna 1, Raw",Grains and grain products,371,5.8,4.8,75.3,0,14,0.8,1,0.083333333,0.54,0.06,0,0,0
"Rice, White, Japonica, USA, Raw",Grains and grain products,365,5.7,0.2,81.2,0,1,1.2,2,0,0.07,0.02,0,0,0
"Rice, Brown, Germinated, Raw",Grains and grain products,371,7,2.3,79.4,0,8,3.3,3,0,0.25,0.06,0,0,0
"Rice, White, Unland rice, Raw",Grains and grain products,357,9.3,0.9,74.5,0.5,5,0.8,1,0,0.08,0.02,0,300,11
"Rice, White, Unland rice, 94.4% Milling yield, Raw",Grains and grain products,358,9.5,1.5,73.4,0.9,6,1.3,1,0,0.24,0.03,0,490,19
"Rice, White, Saechucheongbyeo, Raw",Grains and grain products,366,6.1,0.2,80.9,0,4,3.8,8,0.666666667,0.12,0.02,0,0,0
"Rice, White, Surabyeo, Raw",Grains and grain products,346,5.7,0.1,76.7,0,6,0.8,17,0.583333333,0.12,0.03,0,0,0
"Rice, White, Ilmibyeo, Raw",Grains and grain products,372,7.7,1,79.3,0,12,1.1,11,0,0.19,0.03,0,0,0
"Rice, Brown, Ilmibyeo, Raw",Grains and grain products,354,9,1,76.2,0,10,1.7,12,0,0.35,0.06,0,0,0
"Rice, White, Japan, Raw",Grains and grain products,367,5,0.4,81.8,0,1,1,2,0,0.13,0.03,0,0,0
"Rice, White, Ilpumbyeo, Raw",Grains and grain products,353,5.7,0.1,78.5,0,6,1.4,5,0.333333333,0.14,0.02,0,0,0
"Rice, Brown, Ilpumbyeo, Raw",Grains and grain products,363,7.4,2,77.8,0,3,1.5,24,0,0.28,0.05,0,0,0
"Rice, White, China, Raw",Grains and grain products,361,6.7,0.4,78.9,0,1,1.6,2,0,0.14,0.04,0,0,0
"Rice, White, Chucheongbyeo, Raw",Grains and grain products,373,6.7,0.6,81.4,5.7,8,0.4,3,0.166666667,0.45,0.02,0,0,0
"Rice, Brown, Chucheongbyeo, Raw",Grains and grain products,362,6.4,2.7,76.9,0,12,1.1,14,0,0.3,0.04,0,0,0
"Rice, White, Keunnunbyeo, Raw",Grains and grain products,375,6.3,1,81.4,0,3,1.1,19,0,0.11,0.03,0,0,0
"Rice, Brown, Keunnunbyeo, Raw",Grains and grain products,371,7.3,3,77.9,0,3,1.5,23,0,0.27,0.06,0,0,0
"Rice, White, Thailand, Raw",Grains and grain products,366,7,0.2,80.1,0,1,1.6,2,0,0.07,0.03,0,0,0
"Rice, White, Tongilhyeongbyeo, Raw",Grains and grain products,375,8.3,0.6,80.3,0,11,1.2,3,0,0.22,0.03,0,0,0
"Rice, Brown, Tongilhyeongbyeo, Raw",Grains and grain products,362,8.9,1.6,77.2,0,2,3.5,2,0,0.33,0.21,0,0,0
"Rice, White, Haiami, Raw",Grains and grain products,367,5.5,0.9,80.3,0,9,2.9,9,0,0.51,0.03,0,0,0
"Rice, White, Flavored rice, Raw",Grains and grain products,368,7,0.6,79.9,0,5,1,4,0,0.34,0.04,0,0,0
"Rice, White, Australia, Raw",Grains and grain products,371,6.4,0.3,81.7,0,1,1.5,2,0,0.1,0.02,0,0,0
"Rice, Brown, Black rice, Raw",Grains and grain products,356,7.59,2.31,75.31,7.6,19,0.85,4,4.166666667,0.607,0.254,0,892.3,38.23
"Rice, Brown, Heukjinjubyeo, Raw",Grains and grain products,369,7.9,2.6,77.7,7.4,23,2.5,2,4.25,1.01,0.16,0,0,0
"Rice, White, Huitomebore, Raw",Grains and grain products,364,6.5,0.3,80,4.6,7,0.5,3,0.083333333,0.33,0.01,0,0,0
"Rice, White, Goldenqueen3, Raw",Grains and grain products,354,6.07,0.67,77.27,0.9,4,0.25,3,0,0.069,0.028,0,253.43,8.87
"Rice, Brown, Goldenqueen3, Raw",Grains and grain products,356,6.16,2.01,77.24,3.9,9,0.91,1,0.333333333,0.295,0.067,0,746.42,29.54
"Rice, White, Hopumbyeo, Raw",Grains and grain products,354,5.91,0.73,77.2,0.8,4,0.18,0,0,0.071,0.027,0,287.87,11.04
