name,ingredient,weight,category,note
S watermelon punch (without milks),"Carbonated beverages, Sprite",60,Fruits (snack),Korean
,"Watermelon, Red pulp, Raw",100,,
Dried persimmon,"Persimmon(Diospyros kaki Thunb.), Dried, Cubed",30,Fruits (snack),Korean
S kyogo grape (100g),"Grape, Kyoho(Large), Raw",100,Fruits (snack),Western
S dried persimmon,"Persimmon(Diospyros kaki Thunb.), Dried",40,Fruits (snack),Korean
S fruit punch,Cow's milk,100,Fruits (snack),Korean
,"Apple, Fuji, Raw",15,,
,"Banana, Raw",15,,
,"Watermelon, Red pulp, Raw",50,,
S tangerine (50g),"Mandarin orange, Early-maturing cultivar, Raw",50,Fruits (snack),Western
S mandarin (80g),"Mandarin orange, Early-maturing cultivar, Raw",80,Fruits (snack),Western
S sweet persimmon (50g),"Persimmon(Diospyros kaki Thunb.), Hard, Raw",50,Fruits (snack),Korean
S carrot stick,"Carrot, Roots, Raw",30,Fruits (snack),Western
S strawberry (100g),"Strawberries, Improved, Raw",100,Fruits (snack),Western
S melon (100g),"Melon, Musk, Raw",100,Fruits (snack),Western
S melon (50g),"Melon, Musk, Raw",50,Fruits (snack),Western
S melon (75g),"Melon, Musk, Raw",75,Fruits (snack),Western
S melon puree,"Melon, Musk, Raw",80,Fruits (snack),Western
S banana (100g),"Banana, Raw",100,Fruits (snack),Western
S banana (50g),"Banana, Raw",50,Fruits (snack),Western
S grape tomato(35g),"Tomato, Cherry tomato, Raw",35,Fruits (snack),Western
S cherry tomato (70g),"Tomato, Cherry tomato, Raw",70,Fruits (snack),Western
S pear (100g),"Pear, Singo, Raw",100,Fruits (snack),Western
S pear (50g),"Pear, Singo, Raw",50,Fruits (snack),Western
S peach (60g),"Peach, Nectarine, Raw",60,Fruits (snack),Western
S peach (80g),"Peach, Nectarine, Raw",80,Fruits (snack),Western
S peach (white) - 60g,"Peach, White, Raw",60,Fruits (snack),Western
S white peach -80g,"Peach, White, Raw",80,Fruits (snack),Western
S nectarine -60g,"Peach, Nectarine, Raw",60,Fruits (snack),Western
S nectarine -80g,"Peach, Nectarine, Raw",80,Fruits (snack),Western
S peach (yellow) - 60g,"Peach, Yellow, Raw",60,Fruits (snack),Western
S yellow peach-80g,"Peach, Yellow, Raw",80,Fruits (snack),Western
S blueberry (50g),"Blueberries, Raw",50,Fruits (snack),Western
S apple (100g),"Apple, Fuji, Raw",100,Fruits (snack),Western
S apple (35g),"Apple, Fuji, Raw",35,Fruits (snack),Western
S apple (50g),"Apple, Fuji, Raw",50,Fruits (snack),Western
